"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419",296.273279539911,-0.892197801016184,0.263173956242124,-3.390144730717,0.000698557330072055,0.00405264301745611
"ENSG00000000460",233.900170371281,-0.855548004152331,0.260502146755992,-3.28422630986496,0.00102262769295652,0.00551748474441951
"ENSG00000000971",232.212968952271,-1.03674233724613,0.394456144776883,-2.62828289272194,0.00858171157216582,0.0299408522463074
"ENSG00000001084",608.171123631075,0.92412062922548,0.292273286736917,3.16183746911262,0.00156777041863476,0.00773985467595262
"ENSG00000001167",1348.03100409516,0.688905399144617,0.196389203098202,3.50785780621626,0.000451730429853711,0.00285774095344096
"ENSG00000001629",1700.79146614458,-0.784247831051452,0.249898769474114,-3.13826207588704,0.00169952846683345,0.00825750962329747
"ENSG00000002016",192.304969084935,0.707877231996521,0.249784811548692,2.83394825973448,0.00459767753795721,0.0182875605202128
"ENSG00000002330",200.831257749372,-1.42100928135087,0.304337085861814,-4.66919526855194,3.02381864434701e-06,5.06933102736044e-05
"ENSG00000002746",42.5183848116553,2.38245399186912,0.478820870728556,4.97566864252193,6.50227955760585e-07,1.39258535493646e-05
"ENSG00000002822",721.524422758416,-1.12684747280742,0.267551141678108,-4.21170870637934,2.53446237829877e-05,0.000282823801413319
"ENSG00000003402",14424.9339065706,0.858939456928459,0.22781033505294,3.77041479144857,0.00016297644192326,0.00126543419709434
"ENSG00000003756",4602.37739174826,0.801199479326031,0.167352145811641,4.78750646094375,1.68866303170375e-06,3.13543990248084e-05
"ENSG00000004059",1946.37199339022,-1.16890302307812,0.248371914027469,-4.70626088161017,2.52301608404839e-06,4.37428353428251e-05
"ENSG00000004142",732.292797083153,-1.15375245807202,0.21592121743489,-5.34339548367882,9.12214362248355e-08,2.85276395902121e-06
"ENSG00000004455",2034.54615691754,-0.559026912195903,0.155481045989908,-3.59546662833866,0.000323810637823143,0.00219361854974359
"ENSG00000004534",1660.10311039221,0.917227415640803,0.183855957671122,4.98883706168239,6.07438527913314e-07,1.31896390226907e-05
"ENSG00000004660",218.602437371641,0.793095998158544,0.313300610458683,2.53142180922477,0.0113601142600091,0.0373487451287946
"ENSG00000004700",1522.36267109709,-0.735421442791876,0.23364369073375,-3.14761952476572,0.00164605794130901,0.00804329648915577
"ENSG00000004766",983.481544309193,-1.11021170152994,0.319971473648609,-3.46972087502142,0.000520999493946907,0.00319592633074464
"ENSG00000004779",237.748980607689,-1.06200456264604,0.198582060161796,-5.34793808554894,8.89618851001225e-08,2.7961698955237e-06
"ENSG00000004799",626.366491326741,-1.13322587416971,0.415839771269561,-2.72515029216653,0.00642722230808868,0.0238747349505006
