"","x"
"1","lncRNA_up_regulated : 328"
"2","lncRNA_down_regulated : 1192"
"3","Protein_coding_up_regulated : 2013"
"4","Protein_coding_down_regulated : 895"
"5","Unidentified_regulated : 895"
"6","up_regulated : 2543"
"7","down_regulated : 2780"
"8","all_regulated : 5323"
